"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"368","Darwin","MT","2","4","1","128","0.00100000000020373","0.00299999999970169","1.85309545486234e-11"
"369","Darwin","MT","2","4","1","128","0.00100000000020373","0.00299999999970169","1.85309545486234e-11"
"370","Darwin","MT","2","4","1","256","0.00900000000001455","0.0180000000000291","2.64321897702757e-12"
"371","Darwin","MT","2","4","1","256","0.00799999999981083","0.0160000000005311","2.64321897702757e-12"
"372","Darwin","MT","2","4","1","256","0.00799999999981083","0.0169999999998254","2.64321897702757e-12"
"373","Darwin","MT","2","4","1","256","0.0100000000002183","0.0159999999996217","2.64321897702757e-12"
"374","Darwin","MT","2","4","1","256","0.00799999999981083","0.0180000000000291","2.64321897702757e-12"
"375","Darwin","MT","2","4","1","256","0.00800000000072032","0.0160000000005311","2.64321897702757e-12"
"376","Darwin","MT","2","4","1","256","0.00900000000001455","0.0169999999998254","2.64321897702757e-12"
"377","Darwin","MT","2","4","1","256","0.00900000000001455","0.0160000000005311","2.64321897702757e-12"
"378","Darwin","MT","2","4","1","256","0.00900000000001455","0.0159999999996217","2.64321897702757e-12"
"379","Darwin","MT","2","4","1","512","0.0659999999998035","0.130000000000109","1.60444102448309e-10"
"380","Darwin","MT","2","4","1","512","0.069999999999709","0.126000000000204","1.60444102448309e-10"
"381","Darwin","MT","2","4","1","512","0.0649999999995998","0.121000000000095","1.60444102448309e-10"
"382","Darwin","MT","2","4","1","512","0.0839999999998327","0.122000000000298","1.60444102448309e-10"
"383","Darwin","MT","2","4","1","512","0.0619999999998981","0.125","1.60444102448309e-10"
"384","Darwin","MT","2","4","1","512","0.0620000000008076","0.124000000000706","1.60444102448309e-10"
"385","Darwin","MT","2","4","1","512","0.068000000000211","0.166000000000167","1.60444102448309e-10"
"386","Darwin","MT","2","4","1","512","0.114000000000487","0.127999999999702","1.60444102448309e-10"
"387","Darwin","MT","2","4","1","512","0.0630000000001019","0.122000000000298","1.60444102448309e-10"
"388","Darwin","MT","2","4","1","1024","0.652000000000044","1.19800000000032","6.48157083560363e-11"
